image_embedding_entropy,caption_embedding_entropy,image_embedding_entropy_256,caption_embedding_entropy_256,image_embedding_entropy_128,caption_embedding_entropy_128,image_embedding_entropy_64,caption_embedding_entropy_64
8.992487187546537,8.925162740761639,7.932651777919175,7.953349784980444,6.886285042044065,6.9192189905247,5.83195396666769,5.877035549647269
8.992082484067222,8.911080112658244,7.95881177161789,7.987352311319448,6.921256988520288,6.975591940379855,5.881907491606098,5.957264692577882
8.995863802200516,8.918663540220898,7.968162814756805,7.964738355954616,6.940801251597531,6.944299897039081,5.891233655902186,5.923753885546034
8.994613445245843,8.981829435013953,7.977060542055981,7.987394666148051,6.956782598902976,6.976415456808137,5.931104126488595,5.957826629102555
8.988113562130225,8.942137646220083,7.970959891364526,7.951037472885538,6.946900265735685,6.911827311738762,5.906858459235625,5.857409198841717
8.99449393766067,8.949039429622829,7.960851945884137,7.964808833445659,6.927486999729792,6.934842127851081,5.887332552299015,5.884345276632146
8.9939341151651,8.892435781203213,7.966569379404933,7.938988106895471,6.934934650924248,6.884842647789342,5.8937419076478506,5.852777090812211
8.994906260016384,8.961608922708335,7.977705168096716,7.981633355519718,6.958332438610871,6.967761798683233,5.92957840346822,5.940752260350118
8.994230866723374,8.902997693219117,7.971254859610754,7.971162307041247,6.946649432403328,6.946282779589862,5.902970983375486,5.909595339214839
8.99249406932883,8.939799817814889,7.979746663551844,7.984603905505249,6.963408480937597,6.971314616328513,5.935648923057929,5.952435129177447
8.994090856526407,8.909578973088472,7.973670070284818,7.948908156105835,6.953764541866363,6.912979204060738,5.918641547200987,5.880376226490478
8.994555525467046,8.91293245190398,7.959781869465886,7.878658888682824,6.92676049573176,6.799028264832424,5.886134185389543,5.725866317369579
8.991342457066521,8.884877090581565,7.975216099430247,7.944939431941014,6.953438821087975,6.901582915750614,5.919350200503019,5.841022135758472
8.994589404782573,8.951012471492563,7.944004623775205,7.963782697485309,6.902456887751486,6.936423071418023,5.837939957951294,5.893495624452188
8.97605138830632,8.914154014477836,7.958462412346331,7.971298680052948,6.918185804731889,6.947324973376784,5.866338963655874,5.922632762318653
8.995185805380569,8.926995439426356,7.978231292900602,7.97621582595261,6.959833751401157,6.957014114013468,5.937593398907749,5.929093642508948
