dimension,avg_image_entropy,avg_caption_entropy
130,6.955024090872762,6.956833729824554
132,6.977805358286905,6.979628746484767
134,7.000207115123684,7.001910499070837
136,7.022296097180218,7.0240057926501915
138,7.044156674684562,7.045792194904463
140,7.06561825114367,7.066997360878199
142,7.086803744452362,7.088207304622296
144,7.107633116604036,7.108896779569751
146,7.12827443188997,7.129607748617875
148,7.148467673735724,7.1497103453023785
150,7.168462109274626,7.169648574747713
152,7.188259356494125,7.189302073934896
154,7.2077374874219995,7.208659089029211
156,7.226894831579412,7.2278137036184456
158,7.245879889462971,7.246820530895231
160,7.264614892039467,7.265375641046234
162,7.283112079644576,7.2839413396371135
164,7.301384805211136,7.302122060709776
166,7.319392109115082,7.320042765172456
168,7.337193734743341,7.337994296193596
170,7.354791732308361,7.355533596077301
172,7.37216287177794,7.3727414673562786
174,7.389333175930911,7.389950983501054
176,7.406342810919795,7.406838921496751
178,7.423097053372128,7.423666173990329
180,7.43969553782356,7.440174154866421
182,7.456099254259479,7.456586584376514
184,7.472337642672669,7.472740548531909
186,7.48839087019395,7.488792010493219
188,7.504256263767544,7.504753479635204
190,7.5199556966582595,7.520296377282498
192,7.535486243600959,7.5358236631844475
194,7.550849681376925,7.551133414073594
196,7.566094113964417,7.566329716296279
198,7.581146316410919,7.581369213815242
200,7.596049273498608,7.596254470153949
202,7.610803059383395,7.611005869181194
204,7.6253806265388855,7.625592368330359
206,7.639827160646156,7.640014759370937
208,7.65414750839483,7.654298588185154
210,7.668338045011826,7.668467693924999
212,7.682374034733993,7.68249403271952
214,7.696282498354263,7.6963624603618594
216,7.71004564290054,7.710127280831586
218,7.723693859069086,7.723764037023781
220,7.737223617548096,7.737239961787349
222,7.750609136454763,7.750636111815272
224,7.763890356096497,7.763898768782072
226,7.777053947345635,7.777027927193419
228,7.790076868889564,7.790056736515495
230,7.802993261068261,7.8029662344715
232,7.815806597874112,7.8157545206770696
234,7.828507386310076,7.828437246011316
236,7.841082044996664,7.840996141239377
238,7.853569134594785,7.853484851833592
240,7.865941286225881,7.865848346299441
242,7.878204196871039,7.878092888451725
244,7.8903682903814625,7.890236253608584
246,7.902434629851692,7.902295460921148
248,7.914400370866428,7.914252881032445
250,7.926266562742872,7.926093474914612
252,7.9380501857537356,7.937869655788034
254,7.949713690314766,7.949534651882612
256,7.961305323514704,7.961105168916568
258,7.972796404350618,7.972585296861304
260,7.984195847062203,7.983982850913888
262,7.995520448004401,7.995279560760997
264,8.006745090181305,8.006503430294174
266,8.017882838008852,8.017632283182513
268,8.028944712140559,8.028673555269656
270,8.03991583710215,8.039637009918676
272,8.050806705426591,8.050520597942286
274,8.061620805955123,8.061327904270962
276,8.07234991239254,8.072053213721464
278,8.08300141528146,8.082693089396496
280,8.093574172963852,8.093253850368193
282,8.104068599432226,8.103744980439789
284,8.11449331690595,8.114157321761555
286,8.124839840802549,8.124503344602827
288,8.135117735325572,8.134775160752689
290,8.145321584443568,8.14497789757064
292,8.155449733240143,8.155098782604949
294,8.16550976507132,8.165160775797496
296,8.17550884217185,8.175139252082097
298,8.185431737032513,8.185061277448114
300,8.195285810746341,8.194917300815531
302,8.205079763345658,8.204704805781104
304,8.21480439524916,8.214429069091366
306,8.224461383751702,8.224084143204127
308,8.234060302617246,8.233677116937352
310,8.243589011373363,8.24319965740279
312,8.253062042996216,8.252668469177857
314,8.262471181109696,8.262078304954816
316,8.271821499724746,8.271428981991141
318,8.28111215433671,8.280712052155252
320,8.290342503386952,8.289935319641238
322,8.299513653676538,8.299109349075426
324,8.308628284469325,8.308221033864887
326,8.317687630284185,8.317277922300757
328,8.326688849403245,8.326272720761779
330,8.335635225768321,8.335217129306923
332,8.344527664575947,8.34410870259887
334,8.353366711090853,8.35294256009815
336,8.362149227750479,8.361726480397081
338,8.37087787737747,8.370453546174527
340,8.379557148751662,8.3791312380254
342,8.38818456564837,8.387756998221663
344,8.396759455595596,8.39633454418082
346,8.405285415893259,8.404855841983363
348,8.413761139185308,8.413330982876913
350,8.422186072087566,8.42175665651177
352,8.43056268138155,8.430137010944065
354,8.43889438623214,8.438461885903875
356,8.447174241293162,8.446740135506754
358,8.455409385489688,8.454977625465194
360,8.463599253146931,8.463163787461413
362,8.471740899304363,8.471310464242165
364,8.479837819490998,8.479403287906152
366,8.487890676150744,8.487454941688734
368,8.495896953080358,8.495460600670059
370,8.503861383839116,8.503424021825438
372,8.511781387653176,8.511342564225323
374,8.51965855864789,8.5192240817597
376,8.527490839628403,8.527053628874071
378,8.535284304511116,8.534845873611923
380,8.543034146562741,8.542597363126763
382,8.550742652561029,8.550305810491569
384,8.558411296388691,8.557975802853797
386,8.566039275577861,8.565601584253296
388,8.573626747511842,8.573191247185072
390,8.581175962218957,8.580740544716654
392,8.588684928288664,8.588248089747175
394,8.596155336107469,8.5957208623196
396,8.603587303228966,8.603154357187446
398,8.61098167972833,8.610547540060676
400,8.618338316782326,8.617904746205735
402,8.625657854490402,8.625225577767868
404,8.63294030550551,8.632510113251431
406,8.640186559150827,8.639756794386988
408,8.647396503042451,8.646967154066004
410,8.654570551689218,8.654141837953816
412,8.66170944218478,8.661281784207073
414,8.668813282720347,8.66838661024607
416,8.67588241586207,8.675456862509929
418,8.68291688436157,8.682492858424503
420,8.689917566265727,8.689494644724547
422,8.696884632738197,8.696462726098193
424,8.70381805843655,8.703397406070714
426,8.710718554331805,8.71029912868623
428,8.717586290148258,8.717168087155772
430,8.72442157976175,8.724004459571178
432,8.731224770760416,8.730808987729858
434,8.73799609764664,8.737581615371617
436,8.744735786050889,8.744322666661363
438,8.751444154952399,8.75103233923639
440,8.758121640192389,8.75771112898937
442,8.764768384427903,8.76435939289852
444,8.771384815374951,8.77097720478277
446,8.777971007270768,8.777564775606415
448,8.784527235967172,8.784122637540095
450,8.791053935865879,8.790650614163214
452,8.797551247410048,8.797149429337404
454,8.80401948938082,8.803619231143987
456,8.810458949260141,8.81006017338964
458,8.816869849977476,8.816472515979909
460,8.823252420650128,8.822856547397409
462,8.829606927649412,8.82921253399469
464,8.835933628194095,8.8355407441601
466,8.842232726033615,8.84184134283764
468,8.848504487344217,8.848114622387163
470,8.854749119160033,8.854360841569555
472,8.860966814138788,8.860580068669567
474,8.867157850751944,8.86677266412456
476,8.873322508053437,8.872938828077576
478,8.879461003314812,8.879078829989897
480,8.885573476493466,8.885192817195577
482,8.891660188060413,8.891281037497645
484,8.897721382565365,8.897343673509523
486,8.90375724334114,8.903380976404097
488,8.90976796442401,8.909393113854959
490,8.915753751638178,8.915380386840422
492,8.921714840500464,8.921342935788282
494,8.927651414740446,8.927280952656943
496,8.933563676401604,8.933194642621732
498,8.939451819366637,8.93908421349769
500,8.945316043436849,8.944949848169994
502,8.95115653315127,8.950791740234083
504,8.95697349419316,8.956610081412917
506,8.962767098839873,8.962405061408123
508,8.968537541891793,8.968176864350802
510,8.974285003230158,8.9739256756849
512,8.993269517845777,8.927928684399316
